Code,Name,Description,Level
7.C,"Sulphates (selenates, etc.) without additional anions, with H2O",,2
7.CA,With small cations,,3
7.CB,With only medium-sized cations,,3
7.CC,With medium-sized and large cations,,3
7.CD,With only large cations,,3
7.D,"Sulphates (selenates, etc.) with additional anions, with H2O",,2
7.DA,With small cations,,3
7.DB,With only medium-sized cations; insular octahedra and finite units,,3
7.DC,With only medium-sized cations; chains of edge-sharing octahedra,,3
7.DD,With only medium-sized cations; sheets of edge-sharing octahedra,,3
7.DE,With only medium-sized cations; unclassified,,3
7.DF,With large and medium-sized cations,,3
7.DG,"With large and medium-sized cations; with NO3, CO3, B(OH)4, SiO4 or IO3",,3
7.E,Uranyl sulphates,,2
7.EA,Without cations,,3
7.EB,With medium-sized cations,,3
7.EC,With medium-sized and large cations,,3
7.F,Chromates,,2
7.FA,Without additional anions,,3
7.FB,"With additional O,V, S, Cl",,3
7.FC,"With PO4, AsO4, SiO4",,3
7.FD,Dichromates,,3
7.G,"Molybdates, Wolframates and Niobates",,2
7.GA,Without additional anions or H2O,,3
7.GB,With additional anions and/or H2O,,3
7.H,Uranium and uranyl molybdates and wolframates,,2
7.HA,With U4+,,3
7.HB,With U6+,,3
7.J,Thiosulphates,,2
7.JA,Thiosulphates of Pb,,3
8,"PHOSPHATES, ARSENATES, VANADATES",,1
8.A,"Phosphates, etc. without additional anions, without H2O",,2
8.AA,With small cations (some also with larger ones),,3
8.AB,With medium-sized cations,,3
8.AC,With medium-sized and large cations,,3
8.AD,With only large cations,,3
8.B,"Phosphates, etc., with additional anions, without H2O",,2
8.BA,With small and medium-sized cations,,3
8.BB,"With only medium-sized cations, (OH, etc.):RO4 about 1:1",,3
8.BC,"With only medium-sized cations, (OH, etc.):RO4 > 1:1 and < 2:1",,3
8.BD,"With only medium-sized cations, (OH, etc.):RO4= 2:1",,3
8.BE,"With only medium-sized cations, (OH, etc.):RO4 > 2:1",,3
8.BF,"With medium-sized and large cations, (OH, etc.):RO4< 0.5:1",,3
8.BG,"With medium-sized and large cations, (OH, etc.):RO4 = 0.5:1",,3
8.BH,"With medium-sized and large cations, (OH,etc.):RO4 = 1:1",,3
8.BJ,"With medium-sized and large cations, (OH, etc.):RO4= 1:5:1",,3
8.BK,"With medium-sized and large cations, (OH, etc.):RO4 = 2:1, 2.5:1",,3
8.BL,"With medium-sized and large cations, (OH, etc.):RO4 = 3:1",,3
8.BM,"With medium-sized and large cations, (OH, etc.):RO4 = 4:1",,3
8.BN,"With only large cations, (OH, etc.):RO4 = 0.33:1",,3
8.BO,"With only large cations, (OH, etc.):RO4 about 1:1",,3
8.C,"Phosphates without additional anions, with H2O",,2
8.CA,With small and large/medium cations,,3
8.CB,"With only medium-sized cations, RO4:H2O = 1:1",,3
8.CC,"With only medium-sized cations, RO4:H2O = 1:1.5",,3
8.CD,"With only medium-sized cations, RO4:H2O = 1:2",,3
8.CE,"With only medium-sized cations, RO4:H2O about 1:2.5",,3
8.CF,"With large and medium-sized cations, RO4:H2O > 1:1",,3
8.CG,"With large and medium-sized cations, RO4:H2O = 1:1",,3
8.CH,"With large and medium-sized cations, RO4:H2O < 1:1",,3
8.CJ,With only large cations,,3
8.D,"Phosphates, etc. with additional anions, with H2O",,2
8.DA,With small (and occasionally larger) cations,,3
8.DB,"With only medium-sized cations, (OH, etc.):RO4< 1:1",,3
8.DC,"With only medium-sized cations, (OH, etc.):RO4 = 1:1 and < 2:1",,3
8.DD,"With only medium-sized cations, (OH, etc.):RO4= 2:1",,3
8.DE,"With only medium-sized cations, (OH, etc.):RO4 = 3:1",,3
8.DF,"With only medium-sized cations, (OH,etc.):RO4 > 3:1",,3
8.DG,"With large and medium-sized cations, (OH, etc.):RO4< 0.5:1",,3
8.DH,"With large and medium-sized cations, (OH, etc.):RO4 < 1:1",,3
8.DJ,"With large and medium-sized cations, (OH, etc.):RO4 = 1:1",,3
8.DK,"With large and medium-sized cations, (OH, etc.):RO4 > 1:1 and < 2:1",,3
8.DL,"With large and medium-sized cations, (OH, etc.):RO4 = 2:1",,3
8.DM,"With large and medium-sized cations, (OH, etc.):RO4 > 2:1",,3
8.DN,With only large cations,,3
8.DO,"With CO3, SO4, SiO4",,3
8.E,Uranyl phosphates and arsenates,,2
8.EA,UO2:RO4 = 1:2,,3
8.EB,UO2:RO4 = 1:1,,3
8.EC,UO2:RO4 = 3:2,,3
8.ED,Unclassified,,3
8.F,"Polyphosphates, Polyarsenates, [4]-Polyvanadates",,2
8.FA,"Polyphosphates, etc., without OH and H2O; dimers of corner-sharing RO4 tetrahedra.",,3
8.FB,"Polyphosphates, etc., with OH only",,3
8.FC,"Polyphosphates, etc., with H2O only",,3
8.FD,"Polyphosphates, etc., with OH and H2O",,3
8.FE,Ino-[4]-vanadates,,3
9,SILICATES,Germanates,1
9.A,Nesosilicates,,2
9.AA,Nesosilicates without additional anions; cations in tetrahedral [4] coordination,,3
9.AB,Nesosilicates without additional anions; cations in [4] and greater coordination,,3
9.AC,Nesosilicates without additional anions; cations in octahedral [6] coordination,,3
9.AD,Nesosilicates without additional anions; cations in [6] and/or greater coordination,,3
9.AE,"Nesosilicates with additional anions (O,OH,F,H2O); cations in tetrahedral [4] coordination",,3
9.AF,"Nesosilicates with additional anions; cations in [4], [5] and/or only [6] coordination",,3
9.AG,Nesosilicates with additional anions; cations in > [6] +- [6] coordination,,3
9.AH,"Nesosilicates with CO3, SO4, PO4, etc.",,3
9.AJ,"Nesosilicates with BO3 triangles and/or B[4], Be[4] tetrahedra, cornersharing with SiO4",,3
9.AK,Uranyl neso- and polysilicates,,3
9.B,Sorosilicates,,2
9.BA,"Si2O7 groups, without non-tetrahedral anions; cations in tetrahedral [4] coordination",,3
9.BB,"Si2O7 groups, without non-tetrahedral anions; cations in tetrahedral [4] and greater coordination",,3
9.BC,"Si2O7 groups, without non-tetrahedral anions; cations in octahedral [6] and greater coordination",,3
9.BD,"Si2O7 groups, with additional anions; cations in tetrahedral [4] and greater coordination",,3
9.BE,"Si2O7 groups, with additional anions; cations in octahedral [6] and greater coordination",,3
9.BF,Sorosilicates with mixed SiO4 and Si2O7 groups; cations in tetrahedral [4] and greater coordination,,3
9.BG,Sorosilicates with mixed SiO4 and Si2O7 groups; cations in octahedral [6] and greater coordination,,3
9.BH,"Sorosilicates with Si3O10, Si4O11, etc. anions; cations in tetrahedral [4] and greater coordination",,3
9.BJ,"Sorosilicates with Si3O10, Si4O11, etc. anions; cations in octahedral [6] and greater coordination",,3
9.BK,Unclassified sorosilicates,,3
9.C,Cyclosilicates,,2
9.CA,"[Si3O9]6- 3-membered single rings (dreier-Einfachringe), without insular complex anions",,3
9.CB,"[Si3O9]6- 3-membered single rings, with insular complex anions",,3
9.CC,[Si3O9]6- - branched 3-membered single rings,,3
9.CD,[Si3O9]6- 3-membered double rings,,3
9.CE,"[Si4O12]8- 4-membered single rings (vierer-Einfachringe), without insular complex anions",,3
9.CF,"[Si4O12]8- 4-membered single rings, with insular complex anions",,3
9.CG,[Si4O12]8- branched 4-membered single rings,,3
9.CH,[Si4O12]8- 4-membered double rings,,3
9.CJ,"[Si6O18]12- 6-membered single rings (sechser-Einfachringe), without insular complex anions",,3
9.CK,"[Si6O18]12- 6-membered single rings, with insular complex anions",,3
9.CL,[Si6O18]12- branched 6-membered single rings,,3
9.CM,[Si6O18]12- 6-membered double rings (sechser-Doppelringe),,3
9.CN,[Si8O24]16- 8-membered rings,,3
9.CO,[Si9O27]18- 9-membered rings,,3
9.CP,12-membered and larger rings,,3
9.D,Inosilicates,,2
9.DA,"Inosilicates with 2-periodic single chains, Si2O6; pyroxene family",,3
9.DB,"Inosilicates with 2-periodic single chains, Si2O6; Pyroxene-related minerals",,3
9.DC,Inosilicates with branched 2-periodic single chains; Si2O6 + 2SiO3 Si4O12,,3
9.DD,"Inosilicates with 2-periodic double chains, Si4O11; Orthoamphiboles",,3
9.DE,"Inosilicates with 2-periodic double chains, Si4O11; Clinoamphiboles",,3
9.DF,Inosilicates with 2-periodic multiple chains,,3
9.DG,Inosilicates with 3-periodic single and multiple chains,,3
9.DH,"Inosilicates with 4-periodic single chains, Si4O12",,3
9.DJ,Inosilicates with 4-periodic double and triple chains,,3
9.DK,Inosilicates with 5-periodic single chains,,3
9.DL,"Inosilicates with 5-periodic double chains, Si10O28",,3
9.DM,Inosilicates with 6-periodic single chains,,3
9.DN,Inosilicates with 6-periodic double chains,,3
9.DO,"Inosilicates with 7-, 8-, 10-, 12- and 14-periodic chains",,3
9.DP,Transitional ino-phyllosilicate structures,,3
9.DQ,Modular Inosilicate-Sorosilicate Structures,,3
9.E,Phyllosilicates,,2
9.EA,"Single nets of tetrahedra with 4-, 5-, (6-), and 8-membered rings",,3
9.EB,Double nets with 4- and 6-membered rings,,3
9.EC,"Phyllosilicates with mica sheets, composed of tetrahedral and octahedral nets",,3
9.ED,Phyllosilicates with kaolinite layers composed of tetrahedral and octahedral nets,,3
9.EE,Single tetrahedral nets of 6-membered rings connected by octahedral nets or octahedral bands,,3
9.EF,"Single nets with 6-membered rings, connected by M[4], M[8], etc.",,3
9.EG,Double nets with 6-membered and larger rings,,3
9.EH,Transitional structures between phyllosilicate and other silicate units,,3
9.EJ,Unclassified phyllosilicates,,3
9.F,Tektosilicates without zeolitic H2O,,2
9.FA,Tektosilicates without additional non-tetrahedral anions,,3
9.FB,Tektosilicates with additional anions,,3
9.G,Tektosilicates with zeolitic H2O; zeolite family,,2
9.GA,Zeolites with T5O10 Units – The Fibrous Zeolites,,3
9.GB,Chains of single connected 4-membered rings,,3
9.GC,Chains of doubly-connected 4-membered rings,,3
9.GD,Chains of 6-membered rings – tabular zeolites,,3
9.GE,Chains of T10O20 Tetrahedra,,3
9.GF,Other Rare Zeolites,,3
9.GG,Unclassified zeolites,,3
9.H,Unclassified silicates,,2
9.HA,With Alkali and Alkali-earth Elements,,3
9.HB,"With Ti, V, Cr",,3
9.HC,"With Mn, Fe",,3
9.HD,"With Co, Ni",,3
9.HE,"With Cu, Zn",,3
9.HF,"With Nb, Ta, Zr",,3
9.HG,"With REE, Th",,3
9.HH,With Pb,,3
9.J,Germanates,,2
10,ORGANIC COMPOUNDS,,1
10.A,Salts of organic acids,,2
10.AA,"Formates, Acetates, etc.",,3
10.AB,Oxalates,,3
10.AC,Benzine Salts,,3
10.AD,Cyanates,,3
10.B,Hydrocarbons,,2
10.BA,Hydrocarbons,,3
10.C,Miscellaneous Organic Minerals,,2
10.CA,Miscellaneous Organic Minerals,,3
