"Mineral Name","Mineral Name (plain)","IMA Chemistry (HTML)","Chemistry Elements","Year First Published","IMA Status","Structural Groupname","Crystal Systems","Valence Elements","IMA Mineral Symbol"
"Abellaite","Abellaite","NaPb<sub>2</sub>(CO<sub>3</sub>)<sub>2</sub>(OH)","Na Pb C O H","2014","Approved","Not in a structural group","hexagonal","Na Pb^2+ C O H","Abe"
"Abelsonite","Abelsonite","NiC<sub>31</sub>H<sub>32</sub>N<sub>4</sub>","Ni C H N","1975","Approved","Not in a structural group","triclinic","Ni^2+ C H N","Abl"
"Abenakiite-(Ce)","Abenakiite-(Ce)","Na<sub>26</sub>Ce<sub>6</sub>(Si<sub>6</sub>O<sub>18</sub>)(PO<sub>4</sub>)<sub>6</sub>(CO<sub>3</sub>)<sub>6</sub>(SO<sub>2</sub>)O","Na Ce Si O P C S","1991","Approved","Not in a structural group","hexagonal","Na Ce^3+ Si O P C S^4+","Abk-Ce"
"Abernathyite","Abernathyite","K(UO<sub>2</sub>)(AsO<sub>4</sub>)·3H<sub>2</sub>O","K U O As H","1956","Approved,Grandfathered","Natroautunite","tetragonal","K U^6+ O As^5+ H","Abn"
"Abhurite","Abhurite","Sn<sup>2+</sup><sub>21</sub>O<sub>6</sub>(OH)<sub>14</sub>Cl<sub>16</sub>","Sn O H Cl","1983","Approved","Not in a structural group","hexagonal","Sn^2+ O H Cl","Abh"
"Abramovite","Abramovite","Pb<sub>2</sub>SnInBiS<sub>7</sub>","Pb Sn In Bi S","2006","Approved","Not in a structural group","triclinic","Pb^2+ Sn^4+ In^3+ Bi^3+ S^2-","Abm"
"Abswurmbachite","Abswurmbachite","Cu<sup>2+</sup>Mn<sup>3+</sup><sub>6</sub>O<sub>8</sub>(SiO<sub>4</sub>)","Cu Mn O Si","1990","Approved","Braunite","tetragonal","Cu^2+ Mn^3+ O Si","Abs"
"Abuite","Abuite","CaAl<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>F<sub>2</sub>","Ca Al P O F","2014","Approved","Not in a structural group","orthorhombic","Ca Al P O F","Abu"
"Acanthite","Acanthite","Ag<sub>2</sub>S","Ag S","1855","Approved,Grandfathered","Acanthite","monoclinic","Ag^1+ S^2-","Aca"
"Acetamide","Acetamide","CH<sub>3</sub>CONH<sub>2</sub>","C H O N","1974","Approved","Not in a structural group","hexagonal","C H O N","Ace"
"Achalaite","Achalaite","Fe<sup>2+</sup>TiNb<sub>2</sub>O<sub>8</sub>","Fe Ti Nb O","2013","Approved","Columbite","monoclinic","Fe^2+ Ti^4+ Nb^5+ O","Ahl"
"Achávalite","Achavalite","FeSe","Fe Se","1939","Approved,Renamed","Nickeline","hexagonal","Fe Se","Ahv"
"Achyrophanite","Achyrophanite","(K,Na)<sub>3</sub>(Fe<sup>3+</sup>,Ti,Al,Mg)<sub>5</sub>O<sub>2</sub>(AsO<sub>4</sub>)<sub>5</sub>","K Na Fe Ti Al Mg O As","2018","Approved,Pending publication","Not in a structural group","orthorhombic","K Na Fe^3+ Ti Al Mg O As^5+","Aph"
"Acmonidesite","Acmonidesite","(NH<sub>4</sub>,K,Pb,Na)<sub>9</sub>Fe<sup>2+</sup><sub>4</sub>(SO<sub>4</sub>)<sub>5</sub>Cl<sub>8</sub>","N H K Pb Na Fe S O Cl","2013","Approved","Not in a structural group","orthorhombic","N^3- H K Pb^2+ Na Fe^2+ S^6+ O Cl","Acm"
"Actinolite","Actinolite","◻Ca<sub>2</sub>(Mg<sub>4.5-2.5</sub>Fe<sup>2+</sup><sub>0.5-2.5</sub>)Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>","Ca Mg Fe Si O H","1794","Approved,Redefined","Amphibole","monoclinic","Ca Mg Fe^2+ Si O H","Act"
"Acuminite","Acuminite","SrAlF<sub>4</sub>(OH)·H<sub>2</sub>O","Sr Al F O H","1986","Approved","Tikhonenkovite","monoclinic","Sr Al F O H","Acu"
"Adachiite","Adachiite","CaFe<sup>2+</sup><sub>3</sub>Al<sub>6</sub>(Si<sub>5</sub>AlO<sub>18</sub>)(BO<sub>3</sub>)<sub>3</sub>(OH)<sub>3</sub>(OH)","Ca Fe Al Si O B H","2012","Approved","Tourmaline","hexagonal|unknown","Ca Fe^2+ Al Si O B H","Adc"
"Adamite","Adamite","Zn<sub>2</sub>(AsO<sub>4</sub>)(OH)","Zn As O H","1866","Approved,Grandfathered","Andalusite","orthorhombic","Zn^2+ As^5+ O H","Ad"
"Adamsite-(Y)","Adamsite-(Y)","NaY(CO<sub>3</sub>)<sub>2</sub>·6H<sub>2</sub>O","Na Y C O H","1999","Approved","Not in a structural group","triclinic","Na Y C O H","Ads-Y"
"Adanite","Adanite","Pb<sub>2</sub>(Te<sup>4+</sup>O<sub>3</sub>)(SO<sub>4</sub>)","Pb Te O S","2019","Approved"," ","monoclinic","Pb^2+ Te^4+ O S^6+","Adn"
"Addibischoffite","Addibischoffite","Ca<sub>2</sub>Al<sub>6</sub>Al<sub>6</sub>O<sub>20</sub>","Ca Al O","2015","Approved","Sapphirine","triclinic","Ca Al O","Add"
"Adelite","Adelite","CaMg(AsO<sub>4</sub>)(OH)","Ca Mg As O H","1891","Approved,Grandfathered","Adelite","orthorhombic","Ca Mg As^5+ O H","Ade"
"Admontite","Admontite","MgB<sub>6</sub>O<sub>10</sub>·7H<sub>2</sub>O","Mg B O H","1978","Approved","Not in a structural group","monoclinic","Mg B O H","Amt"
"Adolfpateraite","Adolfpateraite","K(UO<sub>2</sub>)(SO<sub>4</sub>)(OH)(H<sub>2</sub>O)","K U O S H","2011","Approved","Not in a structural group","monoclinic","K U^6+ O S^6+ H","Adp"
"Adranosite","Adranosite","(NH<sub>4</sub>)<sub>4</sub>NaAl<sub>2</sub>(SO<sub>4</sub>)<sub>4</sub>Cl(OH)<sub>2</sub>","N H Na Al S O Cl","2008","Approved","Adranosite","tetragonal","N^3- H Na Al S^6+ O Cl","Arn"
"Adranosite-(Fe)","Adranosite-(Fe)","(NH<sub>4</sub>)<sub>4</sub>NaFe<sub>2</sub>(SO<sub>4</sub>)<sub>4</sub>Cl(OH)<sub>2</sub>","N H Na Fe S O Cl","2011","Approved","Adranosite","tetragonal","N^3- H Na Fe^3+ S^6+ O Cl","Arn-Fe"
"Adrianite","Adrianite","Ca<sub>12</sub>(Al<sub>4</sub>Mg<sub>3</sub>Si<sub>7</sub>)O<sub>32</sub>Cl<sub>6</sub>","Ca Al Mg Si O Cl","2014","Approved"," ","cubic","Ca Al Mg Si O Cl","Adt"
"Aegirine","Aegirine","NaFe<sup>3+</sup>Si<sub>2</sub>O<sub>6</sub>","Na Fe Si O","1835","Approved","Pyroxene","monoclinic","Na Fe^3+ Si O","Aeg"
"Aegirine-augite","Aegirine-augite","(Ca,Na)(Fe<sup>3+</sup>,Mg,Fe<sup>2+</sup>)Si<sub>2</sub>O<sub>6</sub>","Ca Na Fe Mg Si O","1892","Approved,Redefined","Pyroxene","monoclinic","Ca Na Fe^3+ Mg Fe^2+ Si O","Aeg-Aug"
"Aenigmatite","Aenigmatite","Na<sub>4</sub>[Fe<sup>2+</sup><sub>10</sub>Ti<sub>2</sub>]O<sub>4</sub>[Si<sub>12</sub>O<sub>36</sub>]","Na Fe Ti O Si","1865","Approved","Sapphirine","triclinic","Na Fe^2+ Ti^4+ O Si","Aen"
"Aerinite","Aerinite","(Ca,Na)<sub>6</sub>(Fe<sup>3+</sup>,Fe<sup>2+</sup>,Mg,Al)<sub>4</sub>(Al,Mg)<sub>6</sub>Si<sub>12</sub>O<sub>36</sub>(OH)<sub>12</sub>(CO<sub>3</sub>)·12H<sub>2</sub>O","Ca Na Fe Mg Al Si O H C","1876","Approved,Redefined","Not in a structural group","hexagonal","Ca Na Fe^3+ Fe^2+ Mg Al Si O H C","Aer"
"Aerugite","Aerugite","Ni<sub>8.5</sub>(AsO<sub>4</sub>)<sub>2</sub>As<sup>5+</sup>O<sub>8</sub>","Ni As O","1858","Approved,Redefined","Not in a structural group","hexagonal","Ni^2+ As^5+ O","Aru"
"Aeschynite-(Ce)","Aeschynite-(Ce)","(Ce,Ca,Fe,Th)(Ti,Nb)<sub>2</sub>(O,OH)<sub>6</sub>","Ce Ca Fe Th Ti Nb O H","1830","Approved,Renamed","Aeschynite","orthorhombic","Ce^3+ Ca Fe^2+ Th^4+ Ti^4+ Nb^5+ O H","Aes-Ce"
"Aeschynite-(Nd)","Aeschynite-(Nd)","(Nd,Ln,Ca)(Ti,Nb)<sub>2</sub>(O,OH)<sub>6</sub>","Nd Ln Ca Ti Nb O H","1982","Approved","Aeschynite","orthorhombic","Nd^3+ Ln^3+ Ca Ti^4+ Nb^5+ O H","Aes-Nd"
"Aeschynite-(Y)","Aeschynite-(Y)","(Y,Ln,Ca,Th)(Ti,Nb)<sub>2</sub>(O,OH)<sub>6</sub>","Y Ln Ca Th Ti Nb O H","1906","Approved,Renamed","Aeschynite","orthorhombic|amorphous","Y Ca Th^4+ Ti^4+ Nb^5+ O H","Aes-Y"
"Afghanite","Afghanite","(Na,K)<sub>22</sub>Ca<sub>10</sub>(Si<sub>24</sub>Al<sub>24</sub>)O<sub>96</sub>(SO<sub>4</sub>)<sub>6</sub>Cl<sub>6</sub>","Na K Ca Si Al O S Cl","1967","Approved","Cancrinite-sodalite","hexagonal","Na Ca Si Al O S^6+ Cl","Afg"
"Afmite","Afmite","Al<sub>3</sub>(OH)<sub>4</sub>(H<sub>2</sub>O)<sub>3</sub>(PO<sub>4</sub>)(PO<sub>3</sub>OH)·H<sub>2</sub>O","Al O H P","2005","Approved"," ","triclinic","Al O H P","Afm"
"Afwillite","Afwillite","Ca<sub>3</sub>[SiO<sub>4</sub>][SiO<sub>2</sub>(OH)<sub>2</sub>]·2H<sub>2</sub>O","Ca Si O H","1925","Approved,Grandfathered","Spurrite-Afwillite","monoclinic|triclinic","Ca Si O H","Afw"
"Agaite","Agaite","Pb<sub>3</sub>Cu<sup>2+</sup>Te<sup>6+</sup>O<sub>5</sub>(OH)<sub>2</sub>(CO<sub>3</sub>)","Pb Cu Te O H C","2011","Approved","Not in a structural group","orthorhombic","Pb^2+ Cu^2+ Te^6+ O H C","Aga"
"Agakhanovite-(Y)","Agakhanovite-(Y)","YCa◻<sub>2</sub>KBe<sub>3</sub>Si<sub>12</sub>O<sub>30</sub>","Y Ca K Be Si O","2013","Approved","Milarite","hexagonal","Y Ca K Be Si O","Agk-Y"
"Agardite-(Ce)","Agardite-(Ce)","CeCu<sup>2+</sup><sub>6</sub>(AsO<sub>4</sub>)<sub>3</sub>(OH)<sub>6</sub>·3H<sub>2</sub>O","Ce Cu As O H","2003","Approved","Mixite","hexagonal","Cu^2+ Ce^3+ As^5+ O H","Agr-Ce"
"Agardite-(La)","Agardite-(La)","LaCu<sup>2+</sup><sub>6</sub>(AsO<sub>4</sub>)<sub>3</sub>(OH)<sub>6</sub>·3H<sub>2</sub>O","La Cu As O H","1980","Approved","Mixite","hexagonal","Cu^2+ La^3+ As^5+ O H","Agr-La"
"Agardite-(Nd)","Agardite-(Nd)","NdCu<sup>2+</sup><sub>6</sub>(AsO<sub>4</sub>)<sub>3</sub>(OH)<sub>6</sub>·3H<sub>2</sub>O","Nd Cu As O H","2010","Approved","Mixite","hexagonal","Cu^2+ Nd^3+ As^5+ O H","Agr-Nd"
"Agardite-(Y)","Agardite-(Y)","YCu<sup>2+</sup><sub>6</sub>(AsO<sub>4</sub>)<sub>3</sub>(OH)<sub>6</sub>·3H<sub>2</sub>O","Y Cu As O H","1968","Approved,Renamed","Mixite","hexagonal","Cu^2+ Y As^5+ O H","Agr-Y"
"Agmantinite","Agmantinite","Ag<sub>2</sub>MnSnS<sub>4</sub>","Ag Mn Sn S","2014","Approved","Wurtzite","orthorhombic|monoclinic","Ag^1+ Mn^2+ Sn^4+ S^2-","Agm"
"Agrellite","Agrellite","NaCa<sub>2</sub>Si<sub>4</sub>O<sub>10</sub>F","Na Ca Si O F","1973","Approved","Not in a structural group","triclinic","Na Ca Si O F","Are"
"Agricolaite","Agricolaite","K<sub>4</sub>(UO<sub>2</sub>)(CO<sub>3</sub>)<sub>3</sub>","K U O C","2009","Approved","Not in a structural group","monoclinic","K U^6+ O C","Agc"
"Agrinierite","Agrinierite","K<sub>2</sub>Ca[(UO<sub>2</sub>)<sub>3</sub>O<sub>3</sub>(OH)<sub>2</sub>]<sub>2</sub>·5H<sub>2</sub>O","K Ca U O H","1971","Approved","Compreignacite","orthorhombic","K Ca U^6+ O H","Agn"
"Aguilarite","Aguilarite","Ag<sub>4</sub>SeS","Ag Se S","1891","Approved,Grandfathered","Acanthite","monoclinic|orthorhombic","Ag^1+ Se^2- S^2-","Agu"
"Aheylite","Aheylite","Fe<sup>2+</sup>Al<sub>6</sub>(PO<sub>4</sub>)<sub>4</sub>(OH)<sub>8</sub>·4H<sub>2</sub>O","Fe Al P O H","1984","Approved","Turquoise","triclinic","Fe^2+ Al P O H","Ahe"
"Ahlfeldite","Ahlfeldite","Ni(SeO<sub>3</sub>)·2H<sub>2</sub>O","Ni Se O H","1935","Approved,Grandfathered","Cobaltomenite","monoclinic","Ni^2+ Se^4+ O H","Afe"
"Ahrensite","Ahrensite","SiFe<sub>2</sub>O<sub>4</sub>","Si Fe O","2013","Approved","Spinel","cubic","Si Fe^2+ O","Ahr"
"Aikinite","Aikinite","CuPbBiS<sub>3</sub>","Cu Pb Bi S","1843","Approved,Grandfathered","Meneghinite","orthorhombic","Cu^1+ Pb^2+ Bi^3+ S^2-","Aik"
"Aiolosite","Aiolosite","Na<sub>2</sub>(Na<sub>2</sub>Bi)(SO<sub>4</sub>)<sub>3</sub>Cl","Na Bi S O Cl","2008","Approved","Apatite","hexagonal","Na Bi^3+ S^6+ O Cl","Aio"
"Airdite","Airdite","Sr(V<sup>4+</sup>O)<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>·4H<sub>2</sub>O","Sr V O P H","2020","Approved,Pending publication"," ","monoclinic","Sr V^4+ O P H","Air"
"Ajoite","Ajoite","K<sub>3</sub>Cu<sup>2+</sup><sub>20</sub>Al<sub>3</sub>Si<sub>29</sub>O<sub>76</sub>(OH)<sub>16</sub>·8H<sub>2</sub>O","K Cu Al Si O H","1958","Approved","Ajoite","triclinic","K Cu^2+ Al Si O H","Aj"
"Akaganeite","Akaganeite","(Fe<sup>3+</sup>,Ni<sup>2+</sup>)<sub>8</sub>(OH,O)<sub>16</sub>Cl<sub>1.25</sub>·nH<sub>2</sub>O","Fe Ni O H Cl","1962","Approved,Renamed","Coronadite","monoclinic|tetragonal","Fe^3+ Ni^2+ O H Cl","Akg"
"Akaogiite","Akaogiite","TiO<sub>2</sub>","Ti O","2007","Approved","Baddeleyite","monoclinic","Ti^4+ O","Aka"
"Akatoreite","Akatoreite","Mn<sup>2+</sup><sub>9</sub>Al<sub>2</sub>Si<sub>8</sub>O<sub>24</sub>(OH)<sub>8</sub>","Mn Al Si O H","1969","Approved","Not in a structural group","triclinic","Mn^2+ Al Si O H","Akt"
"Akdalaite","Akdalaite","Al<sub>10</sub>O<sub>14</sub>(OH)<sub>2</sub>","Al O H","1969","Approved","Nolanite","hexagonal|orthorhombic","Al O H","Akd"
"Åkermanite","Akermanite","Ca<sub>2</sub>MgSi<sub>2</sub>O<sub>7</sub>","Ca Mg Si O","1884","Approved,Grandfathered","Melilite","tetragonal","Ca Mg Si O","Åk"
"Akhtenskite","Akhtenskite","MnO<sub>2</sub>","Mn O","1982","Approved","Feroxyhyte","hexagonal","Mn^4+ O","Akh"
"Akimotoite","Akimotoite","MgSiO<sub>3</sub>","Mg Si O","1997","Approved","Corundum","hexagonal","Mg Si O","Aki"
"Aklimaite","Aklimaite","Ca<sub>4</sub>[Si<sub>2</sub>O<sub>5</sub>(OH)<sub>2</sub>](OH)<sub>4</sub>·5H<sub>2</sub>O","Ca Si O H","2011","Approved","Not in a structural group","monoclinic","Ca Si O H","Akm"
"Akopovaite","Akopovaite","Al<sub>4</sub>Li<sub>2</sub>(OH)<sub>12</sub>(CO<sub>3</sub>)(H<sub>2</sub>O)<sub>3</sub>","Al Li O H C","2018","Approved","Hydrotalcite","monoclinic","Al Li O H C","Av"
"Akrochordite","Akrochordite","MnMn<sub>2</sub>Mn<sub>2</sub>(AsO<sub>4</sub>)<sub>2</sub>(OH)<sub>4</sub>(H<sub>2</sub>O)<sub>4</sub>","Mn As O H","1922","Approved,Grandfathered,Redefined","Akrochordite","monoclinic","Mn^2+ As^5+ O H","Akr"
"Aksaite","Aksaite","MgB<sub>6</sub>O<sub>7</sub>(OH)<sub>6</sub>·2H<sub>2</sub>O","Mg B O H","1962","Approved","Not in a structural group","orthorhombic","Mg B O H","Aks"
"Aktashite","Aktashite","Cu<sub>6</sub>Hg<sub>3</sub>As<sub>4</sub>S<sub>12</sub>","Cu Hg As S","1968","Approved,Redefined","Nowackiite","hexagonal","Cu^1+ Hg^2+ As^3+ S^2-","Ats"
"Alabandite","Alabandite","MnS","Mn S","1822","Approved,Grandfathered","Rocksalt","cubic","Mn^2+ S^2-","Abd"
"Alacránite","Alacranite","As<sub>8</sub>S<sub>9</sub>","As S","1985","Approved,Renamed","Not in a structural group","monoclinic","As S","Acr"
"Alamosite","Alamosite","PbSiO<sub>3</sub>","Pb Si O","1909","Approved,Grandfathered","Not in a structural group","monoclinic","Pb^2+ Si O","Aam"
"Alarsite","Alarsite","Al(AsO<sub>4</sub>)","Al As O","1993","Approved","Quartz","hexagonal","Al As^5+ O","Ars"
"Albertiniite","Albertiniite","Fe<sup>2+</sup>(SO<sub>3</sub>)·3H<sub>2</sub>O","Fe S O H","2015","Approved","Albertiniite","monoclinic","Fe^2+ S^4+ O H","Abt"
"Albite","Albite","Na(AlSi<sub>3</sub>O<sub>8</sub>)","Na Al Si O","1815","Approved,Grandfathered","Feldspar","triclinic","Na Al Si O","Ab"
"Albrechtschraufite","Albrechtschraufite","MgCa<sub>4</sub>F<sub>2</sub>[UO<sub>2</sub>(CO<sub>3</sub>)<sub>3</sub>]<sub>2</sub>·17-18H<sub>2</sub>O","Mg Ca F U O C H","1983","Approved","Not in a structural group","triclinic","Ca Mg U^6+ O C F H","Asf"
"Alburnite","Alburnite","Ag<sub>8</sub>GeTe<sub>2</sub>S<sub>4</sub>","Ag Ge Te S","2012","Approved","Argyrodite","cubic","Ag^1+ Ge Te^2- S^2-","Alb"
"Alcantarillaite","Alcantarillaite","[Fe<sup>3+</sup><sub>0.5</sub>(H<sub>2</sub>O)<sub>4</sub>][CaAs<sup>3+</sup><sub>2</sub>(Fe<sup>3+</sup><sub>2.5</sub>W<sup>6+</sup><sub>0.5</sub>)(AsO<sub>4</sub>)<sub>2</sub>O<sub>7</sub>]","Fe H O Ca As W","2019","Approved","Walentaite","orthorhombic","Fe^3+ H O Ca As^3+ W^6+ As^5+","Alc"
"Alcaparrosaite","Alcaparrosaite","K<sub>3</sub>Ti<sup>4+</sup>Fe<sup>3+</sup>(SO<sub>4</sub>)<sub>4</sub>O(H<sub>2</sub>O)<sub>2</sub>","K Ti Fe S O H","2011","Approved","Alcaparrosaite","monoclinic","K Ti^4+ Fe^3+ S^6+ O H","Apr"
"Aldermanite","Aldermanite","[Mg(H<sub>2</sub>O)<sub>6</sub>][Na(H<sub>2</sub>O)<sub>2</sub>Al<sub>3</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>]·H<sub>2</sub>O","Mg H O Na Al P","1980","Approved,Redefined","Aldermanite","orthorhombic","Mg H O Na Al P","Adm"
"Aldomarinoite","Aldomarinoite","Sr<sub>2</sub>Mn<sup>3+</sup>(AsO<sub>4</sub>)<sub>2</sub>(OH)","Sr Mn As O H","2021","Approved","Brackebuschite","monoclinic","Sr Mn^3+ As^5+ O H","Aldm"
"Aldridgeite","Aldridgeite","(Cd,Ca)(Cu,Zn)<sub>4</sub>(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>·3H<sub>2</sub>O","Cd Ca Cu Zn S O H","2010","Approved","Devilline","monoclinic","Cd^2+ Ca Cu^2+ Zn^2+ S^6+ O H","Adg"
"Aleksandrovite","Aleksandrovite","KCa<sub>7</sub>Sn<sub>2</sub>Li<sub>3</sub>Si<sub>12</sub>O<sub>36</sub>F<sub>2</sub>","K Ca Sn Li Si O F","2009","Approved","Baratovite","monoclinic","K Ca Sn^4+ Li Si O F","Asd"
"Aleksite","Aleksite","PbBi<sub>2</sub>Te<sub>2</sub>S<sub>2</sub>","Pb Bi Te S","1977","Approved","Tetradymite","hexagonal","Pb^2+ Bi^3+ Te^2- S^2-","Alk"
"Aleutite","Aleutite","[Cu<sub>5</sub>O<sub>2</sub>](AsO<sub>4</sub>)(VO<sub>4</sub>)·(Cu<sub>0.5</sub>◻<sub>0.5</sub>)Cl","Cu O As V Cl","2018","Approved","Not in a structural group","monoclinic","Cu^2+ O As^5+ V^5+ Cl","Aeu"
"Alexkhomyakovite","Alexkhomyakovite","K<sub>6</sub>(Ca<sub>2</sub>Na)(CO<sub>3</sub>)<sub>5</sub>Cl·6H<sub>2</sub>O","K Ca Na C O Cl H","2015","Approved","Not in a structural group","hexagonal","K Ca Na C O Cl H","Akmy"
"Alexkuznetsovite-(Ce)","Alexkuznetsovite-(Ce)","Ce<sub>2</sub>Mn(CO<sub>3</sub>)(Si<sub>2</sub>O<sub>7</sub>)","Ce Mn C O Si","2020","Approved","Biraite","monoclinic","Ce^3+ Mn^2+ C O Si","Axk-Ce"
"Alexkuznetsovite-(La)","Alexkuznetsovite-(La)","La<sub>2</sub>Mn(CO<sub>3</sub>)(Si<sub>2</sub>O<sub>7</sub>)","La Mn C O Si","2019","Approved","Biraite","monoclinic","La Mn^2+ C O Si","Axk-La"
"Alflarsenite","Alflarsenite","NaCa<sub>2</sub>Be<sub>3</sub>Si<sub>4</sub>O<sub>13</sub>(OH)·2H<sub>2</sub>O","Na Ca Be Si O H","2008","Approved"," ","monoclinic","Na Ca Be Si O H","Alf"
"Alforsite","Alforsite","Ba<sub>5</sub>(PO<sub>4</sub>)<sub>3</sub>Cl","Ba P O Cl","1980","Approved","Apatite","hexagonal","Ba P O Cl","Afr"
"Alfredopetrovite","Alfredopetrovite","Al<sub>2</sub>(Se<sup>4+</sup>O<sub>3</sub>)<sub>3</sub>·6H<sub>2</sub>O","Al Se O H","2015","Approved","Not in a structural group","hexagonal","Al Se^4+ O H","Afd"
"Alfredstelznerite","Alfredstelznerite","Ca<sub>4</sub>(H<sub>2</sub>O)<sub>4</sub>[B<sub>4</sub>O<sub>4</sub>(OH)<sub>6</sub>]<sub>4</sub>(H<sub>2</sub>O)<sub>15</sub>","Ca H O B","2007","Approved","Not in a structural group","orthorhombic","Ca B O H","Asz"
"Algodonite","Algodonite","Cu<sub>1-x</sub>As<sub>x</sub> (x ≈ 0.15)","Cu As","1857","Approved,Grandfathered","Not in a structural group","hexagonal","Cu As","Ago"
"Alicewilsonite-(YCe)","Alicewilsonite-(YCe)","Na<sub>2</sub>Sr<sub>2</sub>YCe(CO<sub>3</sub>)<sub>6</sub>·3H<sub>2</sub>O","Na Sr Y Ce C O H","2020","Approved","Mckelveyite","triclinic","Na Sr Y Ce^3+ C O H","Aws-YCe"
"Alicewilsonite-(YLa)","Alicewilsonite-(YLa)","Na<sub>2</sub>Sr<sub>2</sub>YLa(CO<sub>3</sub>)<sub>6</sub>·3H<sub>2</sub>O","Na Sr Y La C O H","2021","Approved,Pending publication","Mckelveyite","triclinic","Na Sr Y La C O H","Aws-YLa"
"Aliettite","Aliettite","Ca<sub>0.2</sub>Mg<sub>6</sub>(Si,Al)<sub>8</sub>O<sub>20</sub>(OH)<sub>4</sub>·4H<sub>2</sub>O","Ca Mg Si Al O H","1968","Approved,Redefined","Corrensite, Clay","","Ca Mg Si Al O H","Ali"
"Allabogdanite","Allabogdanite","(Fe,Ni)<sub>2</sub>P","Fe Ni P","2000","Approved","Barringerite","orthorhombic","Fe Ni P","Abg"
"Allactite","Allactite","Mn<sup>2+</sup><sub>7</sub>(AsO<sub>4</sub>)<sub>2</sub>(OH)<sub>8</sub>","Mn As O H","1884","Approved","Allactite","monoclinic","Mn^2+ As^5+ O H","Ala"
"Allanite-(Ce)","Allanite-(Ce)","CaCe(Al<sub>2</sub>Fe<sup>2+</sup>)[Si<sub>2</sub>O<sub>7</sub>][SiO<sub>4</sub>]O(OH)","Ca Ce Al Fe Si O H","1812","Approved,Renamed","Epidote, allanite","monoclinic|unknown","Ca Ce^3+ Al Fe^2+ Si O H","Aln-Ce"
"Allanite-(La)","Allanite-(La)","CaLa(Al<sub>2</sub>Fe<sup>2+</sup>)[Si<sub>2</sub>O<sub>7</sub>][SiO<sub>4</sub>]O(OH)","Ca La Al Fe Si O H","2003","Approved","Epidote, allanite","monoclinic","Ca La Fe^2+ Al Si O H","Aln-La"
"Allanite-(Nd)","Allanite-(Nd)","CaNd(Al<sub>2</sub>Fe<sup>2+</sup>)[Si<sub>2</sub>O<sub>7</sub>][SiO<sub>4</sub>]O(OH)","Ca Nd Al Fe Si O H","2010","Approved","Epidote, allanite","monoclinic","Ca Nd Al Fe^2+ Si O H","Aln-Nd"
"Allanite-(Y)","Allanite-(Y)","CaY(Al<sub>2</sub>Fe<sup>2+</sup>)[Si<sub>2</sub>O<sub>7</sub>][SiO<sub>4</sub>]O(OH)","Ca Y Al Fe Si O H","1949","Approved,Renamed","Epidote, allanite","monoclinic","Ca Y Al Fe^2+ Si O H","Aln-Y"
"Allanpringite","Allanpringite","Fe<sup>3+</sup><sub>3</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>3</sub>·5H<sub>2</sub>O","Fe P O H","2004","Approved","Wavellite","monoclinic","Fe^3+ P O H","Apg"
"Allantoin","Allantoin","C<sub>4</sub>H<sub>6</sub>N<sub>4</sub>O<sub>3</sub>","C H N O","2020","Approved"," ","","C H N O","Aan"
"Allargentum","Allargentum","Ag<sub>1-x</sub>Sb<sub>x</sub> (x ≈ 0.09-0.16)","Ag Sb","1949","Approved,Redefined","Allargentum","hexagonal","Ag Sb","All"
"Alleghanyite","Alleghanyite","Mn<sup>2+</sup><sub>5</sub>(SiO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>","Mn Si O H","1932","Approved,Grandfathered","Humite","monoclinic","Mn^2+ Si O H","Alh"
"Allendeite","Allendeite","Sc<sub>4</sub>Zr<sub>3</sub>O<sub>12</sub>","Sc Zr O","2007","Approved"," ","hexagonal","Sc Zr^4+ O","Aed"
"Allochalcoselite","Allochalcoselite","Cu<sup>1+</sup>Cu<sup>2+</sup><sub>5</sub>PbO<sub>2</sub>(SeO<sub>3</sub>)<sub>2</sub>Cl<sub>5</sub>","Cu Pb O Se Cl","2004","Approved","Not in a structural group","monoclinic","Cu^1+ Cu^2+ Pb^2+ O Se^4+ Cl","Acc"
"Alloclasite","Alloclasite","CoAsS","Co As S","1866","Approved,Grandfathered","Löllingite","monoclinic","Co^3+ As S","Acl"
"Allophane","Allophane","Al<sub>2</sub>O<sub>3</sub>(SiO<sub>2</sub>)<sub>1.3-2.0</sub>·2.5-3.0H<sub>2</sub>O","Al O Si H","1816","Approved,Grandfathered","Allophane","","Al O Si H","Alp"
"Alloriite","Alloriite","(Na,K,Ca)<sub>24</sub>(Na,Ca)<sub>4</sub>Ca<sub>4</sub>(Si,Al)<sub>48</sub>O<sub>96</sub>(SO<sub>4</sub>)<sub>4</sub>(SO<sub>3</sub>,CO<sub>3</sub>)<sub>2</sub>(OH,Cl)<sub>2</sub>(H<sub>2</sub>O,OH)<sub>4</sub>","Na K Ca Si Al O S C H Cl","2006","Approved","Cancrinite, Cancrinite-sodalite","hexagonal","Na K Ca Si Al O S^6+ S^4+ C H Cl","Aor"
