"Mineral Name","Mineral Name (plain)","IMA Chemistry (HTML)","Chemistry Elements","Year First Published","IMA Status","Structural Groupname","Crystal Systems","Valence Elements","IMA Mineral Symbol"
"Calcioburbankite","Calcioburbankite","Na<sub>3</sub>(Ca,Ce,Sr,La)<sub>3</sub>(CO<sub>3</sub>)<sub>5</sub>","Na Ca Ce Sr La C O","1993","Approved","Burbankite","hexagonal|orthorhombic, monoclinic","Na Ca Ce^3+ Sr La C O","Cbbn"
"Calciocatapleiite","Calciocatapleiite","CaZrSi<sub>3</sub>O<sub>9</sub>·2H<sub>2</sub>O","Ca Zr Si O H","1964","Approved,Renamed","Catapleiite","orthorhombic","Ca Zr^4+ Si O H","Cctp"
"Calciocopiapite","Calciocopiapite","CaFe<sup>3+</sup><sub>4</sub>(SO<sub>4</sub>)<sub>6</sub>(OH)<sub>2</sub>·20H<sub>2</sub>O","Ca Fe S O H","1960","Approved","Copiapite","triclinic","Ca Fe^3+ S^6+ O H","Ccpi"
"Calciodelrioite","Calciodelrioite","Ca(VO<sub>3</sub>)<sub>2</sub>·4H<sub>2</sub>O","Ca V O H","2012","Approved","Delrioite","monoclinic","Ca V^5+ O H","Cdlr"
"Calcioferrite","Calcioferrite","Ca<sub>4</sub>MgFe<sup>3+</sup><sub>4</sub>(PO<sub>4</sub>)<sub>6</sub>(OH)<sub>4</sub>·12H<sub>2</sub>O","Ca Mg Fe P O H","1858","Approved,Grandfathered","Calcioferrite","monoclinic","Ca Mg Fe^3+ P O H","Cfr"
"Calciohatertite","Calciohatertite","NaNaCa(CaFe<sup>3+</sup>)(AsO<sub>4</sub>)<sub>3</sub>","Na Ca Fe As O","2021","Approved,Pending publication","Alluaudite","monoclinic","Na Ca Fe^3+ As^5+ O","Chtt"
"Calciohilairite","Calciohilairite","CaZrSi<sub>3</sub>O<sub>9</sub>·3H<sub>2</sub>O","Ca Zr Si O H","1984","Approved"," ","hexagonal","Ca Zr^4+ Si O H","Chlr"
"Calciojohillerite","Calciojohillerite","NaCaMgMg<sub>2</sub>(AsO<sub>4</sub>)<sub>3</sub>","Na Ca Mg As O","2016","Approved","Alluaudite","monoclinic","Na Ca Mg As^5+ O","Cjhl"
"Calciolangbeinite","Calciolangbeinite","K<sub>2</sub>Ca<sub>2</sub>(SO<sub>4</sub>)<sub>3</sub>","K Ca S O","2011","Approved","Langbeinite","cubic","K Ca S^6+ O","Clgb"
"Calciomurmanite","Calciomurmanite","(Na,◻)<sub>2</sub>Ca(Ti,Mg,Nb)<sub>4</sub>[Si<sub>2</sub>O<sub>7</sub>]<sub>2</sub>O<sub>2</sub>(OH,O)<sub>2</sub>(H<sub>2</sub>O)<sub>4</sub>","Na Ca Ti Mg Nb Si O H","2015","Approved,Redefined","Seidozerite-Murmanite","triclinic","Na Ca Ti^4+ Mg Nb^5+ Si O H","Cmmn"
"Calcio-olivine","Calcio-olivine","Ca<sub>2</sub>(SiO<sub>4</sub>)","Ca Si O","2007","Approved,Redefined","Olivine","orthorhombic","Ca Si O","Caol"
"Calciopetersite","Calciopetersite","CaCu<sub>6</sub>(PO<sub>4</sub>)<sub>2</sub>(PO<sub>3</sub>OH)(OH)<sub>6</sub>·3H<sub>2</sub>O","Ca Cu P O H","2001","Approved","Mixite","hexagonal","Cu^2+ Ca P O H","Cpts"
"Calciosamarskite","Calciosamarskite","(Ca,Fe,Y)(Nb,Ta,Ti)O<sub>4</sub>","Ca Fe Y Nb Ta Ti O","1928","Approved,Grandfathered,Questionable mineral species","Columbite","monoclinic","Ca Fe^3+ Fe^2+ Y Nb^5+ Ta^5+ Ti^4+ O","Csmk"
"Calciotantite","Calciotantite","CaTa<sub>4</sub>O<sub>11</sub>","Ca Ta O","1981","Approved"," ","hexagonal","Ca Ta O","Ctan"
"Calciouranoite","Calciouranoite","(Ca,Ba,Pb,K,Na)U<sub>2</sub>O<sub>7</sub>·5H<sub>2</sub>O","Ca Ba Pb K Na U O H","1973","Approved","Wölsendorfite","","Ca Ba Pb^2+ K Na U^6+ O H","Cun"
"Calcioursilite","Calcioursilite","Ca<sub>4</sub>(UO<sub>2</sub>)<sub>4</sub>(Si<sub>2</sub>O<sub>5</sub>)<sub>5</sub>(OH)<sub>6</sub>·15H<sub>2</sub>O","Ca U O Si H","1957","Approved,Grandfathered","Ursilite","orthorhombic","Ca U^6+ O Si H","Caur"
"Calcioveatchite","Calcioveatchite","SrCaB<sub>11</sub>O<sub>16</sub>(OH)<sub>5</sub>·H<sub>2</sub>O","Sr Ca B O H","2020","Approved,Pending publication","Veatchite","monoclinic","Sr Ca B O H","Cvea"
"Calcite","Calcite","Ca(CO<sub>3</sub>)","Ca C O","0","Approved,Grandfathered","Calcite","hexagonal","Ca C O","Cal"
"Calcjarlite","Calcjarlite","Na<sub>2</sub>(Ca,◻)<sub>14</sub>(Mg,◻)<sub>2</sub>Al<sub>12</sub>F<sub>64</sub>(OH)<sub>4</sub>","Na Ca Mg Al F O H","1970","Approved","Jarlite","","Na Ca Al F","Cjar"
"Calclacite","Calclacite","Ca(CH<sub>3</sub>COO)Cl·5H<sub>2</sub>O","Ca C H O Cl","1945","Approved,Grandfathered","Acetate","monoclinic","Ca C H O Cl","Calc"
"Calcurmolite","Calcurmolite","(Ca<sub>1-x</sub>Na<sub>x</sub>)<sub>2</sub>(UO<sub>2</sub>)<sub>3</sub>(MoO<sub>4</sub>)<sub>2</sub>(OH)<sub>6-x</sub>·nH<sub>2</sub>O","Ca Na U O Mo H","1959","Approved"," ","monoclinic|unknown","Ca Na U^6+ O Mo^6+ H","Cau"
"Calcybeborosilite-(Y)","Calcybeborosilite-(Y)","(Y,REE,Ca)<sub>2</sub>(B,Be)<sub>2</sub>(SiO<sub>4</sub>)<sub>2</sub>(OH,O)<sub>2</sub>","Y REE Ca B Be Si O H","2000","Approved,Questionable mineral species","Gadolinite","monoclinic","Y REE Ca B Be Si O H","Cbbs-Y"
"Calderite","Calderite","Mn<sup>2+</sup><sub>3</sub>Fe<sup>3+</sup><sub>2</sub>(SiO<sub>4</sub>)<sub>3</sub>","Mn Fe Si O","1909","Approved,Grandfathered","Garnet","cubic","Mn^2+ Fe^3+ Si O","Cdr"
"Calderónite","Calderonite","Pb<sub>2</sub>Fe<sup>3+</sup>(VO<sub>4</sub>)<sub>2</sub>(OH)","Pb Fe V O H","2001","Approved","Brackebuschite","monoclinic","Pb^2+ Fe^3+ V^5+ O H","Cdn"
"Caledonite","Caledonite","Cu<sub>2</sub>Pb<sub>5</sub>(SO<sub>4</sub>)<sub>3</sub>(CO<sub>3</sub>)(OH)<sub>6</sub>","Cu Pb S O C H","1832","Approved,Grandfathered","Caledonite","orthorhombic","Cu^2+ Pb^2+ S^6+ O C H","Cdo"
"Calkinsite-(Ce)","Calkinsite-(Ce)","Ce<sub>2</sub>(CO<sub>3</sub>)<sub>3</sub>·4H<sub>2</sub>O","Ce C O H","1953","Approved,Renamed"," ","orthorhombic","Ce^3+ C O H","Clk-Ce"
"Callaghanite","Callaghanite","Cu<sub>2</sub>Mg<sub>2</sub>(CO<sub>3</sub>)(OH)<sub>6</sub>·2H<sub>2</sub>O","Cu Mg C O H","1954","Approved,Grandfathered"," ","monoclinic","Cu^2+ Mg C O H","Cgh"
"Calomel","Calomel","HgCl","Hg Cl","0","Approved,Grandfathered"," ","tetragonal","Hg Cl","Clo"
"Calumetite","Calumetite","CaCu<sub>4</sub>(OH)<sub>8</sub>Cl<sub>2</sub>·3.5H<sub>2</sub>O","Ca Cu O H Cl","1963","Approved,Redefined","Anthonyite","orthorhombic","Ca Cu^2+ O H Cl","Clu"
"Calvertite","Calvertite","Cu<sub>5</sub>Ge<sub>0.5</sub>S<sub>4</sub>","Cu Ge S","2006","Approved"," ","cubic","Cu Ge S","Cvt"
"Calzirtite","Calzirtite","Ca<sub>2</sub>Zr<sub>5</sub>Ti<sub>2</sub>O<sub>16</sub>","Ca Zr Ti O","1961","Approved","Calzirtite","tetragonal|orthorhombic","Ca Zr^4+ Ti^4+ O","Caz"
"Camanchacaite","Camanchacaite","Na◻CaMg<sub>2</sub>(AsO<sub>4</sub>)<sub>2</sub>[AsO<sub>2</sub>(OH)<sub>2</sub>]","Na Ca Mg As O H","2018","Approved","Alluaudite","monoclinic","Na Ca Mg As^5+ O H","Ccc"
"Cámaraite","Camaraite","Ba<sub>3</sub>NaFe<sup>2+</sup><sub>8</sub>Ti<sub>4</sub>(Si<sub>2</sub>O<sub>7</sub>)<sub>4</sub>O<sub>4</sub>(OH)<sub>4</sub>F<sub>3</sub>","Ba Na Fe Ti Si O H F","2009","Approved,Redefined","Seidozerite-Bafertisite","triclinic","Ba Na Fe^2+ Ti^4+ Si O H F","Cám"
"Camaronesite","Camaronesite","Fe<sup>3+</sup><sub>2</sub>(PO<sub>3</sub>OH)<sub>2</sub>(SO<sub>4</sub>)(H<sub>2</sub>O)<sub>4</sub>·1-2H<sub>2</sub>O","Fe P O H S","2012","Approved","Taranakite","hexagonal","Fe^3+ P O H S^6+","Cmr"
"Camérolaite","Camerolaite","Cu<sub>6</sub>Al<sub>3</sub>(OH)<sub>18</sub>(H<sub>2</sub>O)<sub>2</sub>[Sb(OH)<sub>6</sub>](SO<sub>4</sub>)","Cu Al O H Sb S","1990","Approved,Renamed","Cyanotrichite","triclinic|monoclinic","Cu^2+ Al O H Sb^5+ S^6+","Cmé"
"Cameronite","Cameronite","Cu<sub>5-x</sub>(Cu,Ag)<sub>3+x</sub>Te<sub>10</sub> (x = 0.43)","Cu Ag Te","1984","Approved"," ","monoclinic|tetragonal","Cu Ag Te","Cme"
"Camgasite","Camgasite","CaMg(AsO<sub>4</sub>)(OH)·5H<sub>2</sub>O","Ca Mg As O H","1988","Approved"," ","monoclinic","Ca Mg As^5+ O H","Cmg"
